Seed,Theta,Inf,Alpha
2145,1.0,1.04439e+01,1.00580e+02
2146,0.0,1.03645e+01,1.01085e+02
2146,0.5,1.03642e+01,1.00580e+02
2146,1.0,1.03638e+01,1.00079e+02
2147,0.0,1.06406e+01,9.89179e+01
2147,0.5,1.06412e+01,9.84242e+01
2147,1.0,1.06418e+01,9.79353e+01
2148,0.0,1.04379e+01,9.99927e+01
2148,0.5,1.04380e+01,9.94916e+01
2148,1.0,1.04381e+01,9.89956e+01
2149,0.0,1.04432e+01,9.99649e+01
2149,0.5,1.04438e+01,9.94591e+01
2149,1.0,1.04444e+01,9.89583e+01
2150,0.0,1.08030e+01,9.80134e+01
2150,0.5,1.08026e+01,9.75330e+01
2150,1.0,1.08022e+01,9.70574e+01
2151,0.0,1.04121e+01,1.00456e+02
2151,0.5,1.04123e+01,9.99540e+01
2151,1.0,1.04124e+01,9.94573e+01
2152,0.0,1.04338e+01,1.01033e+02
2152,0.5,1.04342e+01,1.00523e+02
2152,1.0,1.04346e+01,1.00018e+02
2153,0.0,1.03807e+01,1.01505e+02
2153,0.5,1.03803e+01,1.01000e+02
2153,1.0,1.03799e+01,1.00500e+02
2154,0.0,1.04100e+01,1.01756e+02
2154,0.5,1.04092e+01,1.01258e+02
2154,1.0,1.04085e+01,1.00764e+02
2155,0.0,1.03704e+01,1.02429e+02
2155,0.5,1.03700e+01,1.01917e+02
2155,1.0,1.03697e+01,1.01409e+02
2156,0.0,1.04211e+01,9.91238e+01
2156,0.5,1.04222e+01,9.86139e+01
2156,1.0,1.04233e+01,9.81090e+01
2157,0.0,1.01849e+01,1.02398e+02
2157,0.5,1.01841e+01,1.01891e+02
2157,1.0,1.01832e+01,1.01388e+02
2158,0.0,1.03676e+01,1.01215e+02
2158,0.5,1.03673e+01,1.00712e+02
2158,1.0,1.03669e+01,1.00214e+02
2159,0.0,1.05253e+01,1.00371e+02
2159,0.5,1.05254e+01,9.98685e+01
2159,1.0,1.05255e+01,9.93706e+01
2160,0.0,1.05667e+01,9.96245e+01
2160,0.5,1.05667e+01,9.91265e+01
